UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
53986753,222,8700,רעננה,גן ילדים - גן דפנה,Gan Dafna Kindergarten,13,5305,187681.22242700000,676646.32349400001,0,,187681.22242700000,676646.32349400001
54019268,222,8600,רמת גן,גן ילדים - צוצלת,,13,5305,183454.52062699999,665344.43459399999,0,,183454.52062699999,665344.43459399999
53987596,222,2800,קריית שמונה,גן ילדים - מאור,,13,5305,253758.18832700001,790030.87819399999,0,,253758.18832700001,790030.87819399999
53987598,222,1031,שדרות,גן ילדים - גן חרוב,Gan Haruv Kindergarten,13,5305,161841.63092699999,603784.60549400002,0,,161841.63092699999,603784.60549400002
53987694,222,2400,אור יהודה,גן ילדים - שערי ציון,Sha'are Tsiyyon Kindergarten,13,5305,186734.92482700001,659003.52509400004,0,,186734.92482700001,659003.52509400004
53987696,222,0,,פנימיה,,13,5338,211406.48252699999,603998.16859400005,0,,211406.48252699999,603998.16859400005
53987701,222,6400,הרצלייה,קונסרבטוריון,Conservatory,13,5370,181583.81892699999,675101.53529399994,0,,181583.81892699999,675101.53529399994
53987710,222,2560,ערד,בית ספר - טללים ערד,,13,5310,219546.78212700001,574030.21259400004,0,,219546.78212700001,574030.21259400004
53988114,222,2400,אור יהודה,גן ילדים - גן רקפת,Gan Rakkefet Kindergarten,13,5305,187110.73742699999,659750.24219400005,0,,187110.73742699999,659750.24219400005
53986316,222,2800,קריית שמונה,גן ילדים - גן נרקיס,Gan Narkis Kindergarten,13,5305,253646.42202699999,791123.91699399997,0,,253646.42202699999,791123.91699399997
53984414,222,0,,פנימיה,,13,5338,211418.40372700000,604003.11249400000,0,,211418.40372700000,604003.11249400000
53986130,222,8700,רעננה,גן ילדים - ניצן,,13,5305,188479.40272700001,677237.94069399999,0,,188479.40272700001,677237.94069399999
