UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
51585016,256,2660,יבנה,מגרש חניה,,51,6824,174972.46822700000,644853.07979400002,2014,2015-07,174972.46822700000,644853.07979400002
65107542,256,8500,רמלה,מגרש חניה,,51,6824,188461.08682699999,649057.27259399998,2014,2015-07,188461.08682699999,649057.27259399998
51592295,256,2038,ברקת,מגרש חניה,,51,6824,196538.90512700001,657315.44859399996,2014,2015-07,196538.90512700001,657315.44859399996
51585569,256,2650,רמת השרון,מגרש חניה,,51,6824,184138.20192699999,671050.48329400003,2014,2015-07,184138.20192699999,671050.48329400003
51587766,256,8600,רמת גן,מגרש חניה,,51,6824,183474.27362699999,667484.96169400006,2014,2015-07,183474.27362699999,667484.96169400006
51592325,256,2650,רמת השרון,מגרש חניה,,51,6824,186659.33952700000,670594.18089399999,2014,2015-07,186659.33952700000,670594.18089399999
51591911,256,1304,שוהם,מגרש חניה,,51,6824,194925.25622700001,656202.61519399995,2014,2015-07,194925.25622700001,656202.61519399995
51591621,256,2630,קריית גת,מגרש חניה,,51,6824,176766.63252700001,612117.50259399996,2014,2015-07,176766.63252700001,612117.50259399996
51585485,256,2610,בית שמש,מגרש חניה,,51,6824,196238.45442699999,626785.24369399995,2014,2015-07,196238.45442699999,626785.24369399995
51590718,256,0,,מגרש חניה,,51,6824,199794.25042699999,631145.71899400000,2014,2015-07,199794.25042699999,631145.71899400000
51587299,256,2660,יבנה,מגרש חניה,,51,6824,175867.82072700001,641887.97569400002,2014,2015-07,175867.82072700001,641887.97569400002
51587819,256,3000,ירושלים,מגרש חניה,,51,6824,221305.92242700001,634090.57209399994,2014,2015-07,221305.92242700001,634090.57209399994
51586889,256,7000,לוד,מגרש חניה,,51,6824,191065.64002699999,650865.76689400000,2014,2015-07,191065.64002699999,650865.76689400000
65107528,256,160,חולדה,מגרש חניה,,51,6824,188797.87882700001,637750.68789399997,2014,2015-07,188797.87882700001,637750.68789399997
51586230,256,2038,ברקת,מגרש חניה,,51,6824,196462.28342699999,657350.90239399998,2014,2015-07,196462.28342699999,657350.90239399998
51592617,256,871,עינת,מגרש חניה,,51,6824,194738.27092700001,665735.00429399998,2014,2015-07,194738.27092700001,665735.00429399998
51589455,256,0,,מגרש חניה,,51,6824,178637.45812699999,628090.28019399999,2014,2015-07,178637.45812699999,628090.28019399999
51588190,256,815,זבדיאל,מגרש חניה,,51,6824,176139.89642700000,618067.29449400003,2014,2015-07,176139.89642700000,618067.29449400003
51592143,256,2610,בית שמש,מגרש חניה - הברזלן,,51,6824,196375.78782699999,626152.47919400001,2014,2015-07,196375.78782699999,626152.47919400001
51590313,256,5000,תל אביב -יפו,מגרש חניה - פרטי,,51,6824,179750.13832699999,662656.89979399997,0,,179750.13832699999,662656.89979399997
51589884,256,6600,חולון,מגרש חניה,,51,6824,178455.33252699999,659730.84699400002,0,,178455.33252699999,659730.84699400002
51590915,256,6600,חולון,מגרש חניה,,51,6824,177726.33822700000,658245.46709399996,0,,177726.33822700000,658245.46709399996
51591608,256,5000,תל אביב -יפו,מגרש חניה,,51,6824,181884.74242699999,667996.00989400002,0,,181884.74242699999,667996.00989400002
51591542,256,229,גני תקווה,מגרש חניה,,51,6824,188162.68982699999,662758.29039400001,0,,188162.68982699999,662758.29039400001
65108080,256,3000,ירושלים,מגרש חניה,,51,6824,221247.11212700000,632116.75449399999,2014,2015-07,221247.11212700000,632116.75449399999
51586057,256,6100,בני ברק,מגרש חניה,,51,6824,185282.34782699999,667756.66219399997,2014,2015-07,185282.34782699999,667756.66219399997
51590684,256,8600,רמת גן,מגרש חניה - פרטי,,51,6824,183945.57002700001,662635.35739400005,2014,2015-07,183945.57002700001,662635.35739400005
51586415,256,9700,הוד השרון,מגרש חניה,,51,6824,190209.54242700001,670872.96039400005,2014,2015-07,190209.54242700001,670872.96039400005
51591504,256,0,,מגרש חניה,,51,6824,178737.73312700001,627960.33539400005,2014,2015-07,178737.73312700001,627960.33539400005
51586138,256,8600,רמת גן,מגרש חניה,,51,6824,185759.04802700001,661908.57069399999,0,,185759.04802700001,661908.57069399999
51586815,256,5000,תל אביב -יפו,מגרש חניה,,51,6824,181230.55822700000,665435.87079399999,0,,181230.55822700000,665435.87079399999
51587504,256,5000,תל אביב -יפו,מגרש חניה - לכלכלה,,51,6824,181618.83152700000,668487.78749400005,0,,181618.83152700000,668487.78749400005
51590339,256,8600,רמת גן,מגרש חניה - של הסמינר הקיבוצי,,51,6824,184885.40182699999,661798.57389400003,0,,184885.40182699999,661798.57389400003
51590454,256,6200,בת ים,מגרש חניה,,51,6824,176633.23262699999,657783.63969400001,0,,176633.23262699999,657783.63969400001
51586776,256,8300,ראשון לציון,מגרש חניה,,51,6824,178750.09982700000,653790.90689400001,0,,178750.09982700000,653790.90689400001
51588501,256,6600,חולון,מגרש חניה,,51,6824,182050.34002700000,657645.01879400003,0,,182050.34002700000,657645.01879400003
51590193,256,8600,רמת גן,מגרש חניה,,51,6824,183761.04472700000,667647.06919399998,0,,183761.04472700000,667647.06919399998
51589779,256,8300,ראשון לציון,מגרש חניה,,51,6824,183133.38572699999,655273.31359399995,0,,183133.38572699999,655273.31359399995
51592186,256,5000,תל אביב -יפו,מגרש חניה,,51,6824,180344.04752699999,665814.48229399999,0,,180344.04752699999,665814.48229399999
51591548,256,8300,ראשון לציון,מגרש חניה,,51,6824,178825.35702699999,654478.98469399998,0,,178825.35702699999,654478.98469399998
51591689,256,7900,פתח תקווה,מגרש חניה,,51,6824,190296.92342700000,669282.01249400002,0,,190296.92342700000,669282.01249400002
51587680,256,6900,כפר סבא,מגרש חניה,,51,6824,190185.49012700000,675983.37299399998,2014,2015-07,190185.49012700000,675983.37299399998
