UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER,X,Y
54450783,252,9000,באר שבע,גן ילדים - גן דליה,Gan Dalya Kindergarten,13,5305,178247.43562700000,575473.62909399997,0,,178247.43562700000,575473.62909399997
54452084,252,9000,באר שבע,בית ספר - קורצק,,13,5310,178990.95812699999,573538.18799400004,0,,178990.95812699999,573538.18799400004
54449351,252,1268,מיתר,גן ילדים - גן תמר,Gan Tamar Kindergarten,13,5305,194337.21032700001,581339.66749400005,0,,194337.21032700001,581339.66749400005
54451589,252,1268,מיתר,גן ילדים - גן תמנע,,13,5305,194663.79412700000,581538.80699399998,0,,194663.79412700000,581538.80699399998
54448025,252,246,נתיבות,גן ילדים - גני ברכה,,13,5305,159757.04052700000,591930.52629399998,0,,159757.04052700000,591930.52629399998
54446770,252,9000,באר שבע,בית ספר - יעלים,,13,5320,180243.88252700001,573492.98299399996,0,,180243.88252700001,573492.98299399996
54446791,252,9000,באר שבע,בית ספר - נתיבות יורם,,13,5310,179847.07042700000,573773.45099399996,0,,179847.07042700000,573773.45099399996
54452299,252,9000,באר שבע,בית ספר - יסודות,,13,5312,179808.12372700000,574074.93339400005,0,,179808.12372700000,574074.93339400005
54452511,252,1031,שדרות,גן ילדים - גן ניצן,Gan Nitsan Kindergarten,13,5305,161182.46022700000,603565.63669399999,0,,161182.46022700000,603565.63669399999
54452615,252,2200,דימונה,"בי""ס ממ""ד אלפסי למדעים",Alfasi Science State Religious School,13,5312,203232.17372699999,552348.91539400001,0,,203232.17372699999,552348.91539400001
54449207,252,2200,דימונה,"בי""ס גיורא יוספטל",Giyyora Yoseftal School,13,5310,203360.30202700000,552823.07559400005,2014,2015-07,203360.30202700000,552823.07559400005
54451756,252,2200,דימונה,גן שילה,Shilo Kindergarten,13,5305,202446.79282700000,553411.24369399995,2014,2015-07,202446.79282700000,553411.24369399995
54450933,252,31,אופקים,בית ספר - אביר יעקב,,13,5312,163510.47852700000,579536.50479399995,0,,163510.47852700000,579536.50479399995
61240973,252,1303,חורה,בית ספר - מקיף רבין,,13,5310,194249.50372700000,578467.80499400001,0,,194249.50372700000,578467.80499400001
54450688,252,1031,שדרות,בית ספר - זבוטינסקי,,13,5310,162082.02782700001,603763.21209399996,0,,162082.02782700001,603763.21209399996
64763968,252,1031,שדרות,בית ספר - גיל רבין,,13,5310,162457.38072700001,604411.72759400005,0,,162457.38072700001,604411.72759400005
54448042,252,31,אופקים,בית ספר - בית יעקב לבנות,,13,5312,164251.03262700001,579710.61919400003,0,,164251.03262700001,579710.61919400003
54452244,252,31,אופקים,בית ספר - נראה אור,,13,5312,164220.53212700001,579658.24019399995,0,,164220.53212700001,579658.24019399995
54448081,252,1031,שדרות,בית ספר - אלון למדעים,,13,5310,160774.29202699999,604502.02899400005,0,,160774.29202699999,604502.02899400005
54446613,252,9000,באר שבע,בית ספר - קהילתי גבים,,13,5310,177995.87612700000,573968.85529400001,2014,2015-07,177995.87612700000,573968.85529400001
54452638,252,9000,באר שבע,בית ספר - אמית אפיקים בנגב,,13,5312,181192.29942699999,575539.67399399995,2014,2015-07,181192.29942699999,575539.67399399995
54447461,252,9000,באר שבע,מכללת - קיי,,13,5370,179098.30802699999,575530.26019399997,2014,2015-07,179098.30802699999,575530.26019399997
54447704,252,9000,באר שבע,בית ספר מקיף ג,,13,5300,179267.30302699999,573950.62199400004,2014,2015-07,179267.30302699999,573950.62199400004
54448246,252,9000,באר שבע,בית ספר - אחווה,,13,5310,179578.59672700000,573196.35889399995,2014,2015-07,179578.59672700000,573196.35889399995
54449176,252,9000,באר שבע,"המכללה - האקדמית להנדסה ע""ש סמי שמעון",,13,5370,179871.65242699999,573201.66269400006,2014,2015-07,179871.65242699999,573201.66269400006
54452224,252,9000,באר שבע,אוניברסיטת - בן גוריון בנגב,,13,5380,180727.01912700001,572796.47349400003,2014,2015-07,180727.01912700001,572796.47349400003
